elapsed_time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,reward,terminated,truncated,distance,whip_target_contact,valid_side_hit,arm_tip_ground_hit,robot_ground_contact,arm_self_contact
1.51,1.5344791281621417,-1.1088585417640386,1.2123391088530062,0.1896325421977284,-1.7694837923916393,0.6448502527354028,-0.8338767122790789,0,0,1.3183035546106676,0,0,0,0,0
1.52,1.5315008349440402,-1.1011226845845292,1.2074488581200162,0.18903617059759448,-1.7678739078256178,0.6508147626667639,-0.8405834191404573,0,0,1.3183765519401083,0,0,0,0,0
1.53,1.5289251869478317,-1.0925294624447348,1.2020040652877424,0.18829521463467871,-1.7642985887740292,0.6562479714370415,-0.8352256558296516,0,0,1.3184052837390834,0,0,0,0,0
1.54,1.5264051586097656,-1.0838832086874084,1.195509054528375,0.18702483589015848,-1.759495238120595,0.6629490723304643,-0.8384129344210154,0,0,1.3184104285939662,0,0,0,0,0
1.55,1.5247259393883856,-1.0751215241691117,1.1881275048767586,0.18559579395825704,-1.7557839957337353,0.6683378330375084,-0.8410921694601519,0,0,1.3184128741112087,0,0,0,0,0
1.56,1.5229442371443644,-1.0674297457636774,1.1821402950197257,0.18368784144933195,-1.7513792186460302,0.6721346274308655,-0.8383624208606104,0,0,1.318448119479296,0,0,0,0,0
1.57,1.5215886231117517,-1.0601498277753385,1.1773925018821565,0.18238523542324472,-1.7468178782295407,0.6761055973652654,-0.8427100637173119,0,0,1.3185230587261805,0,0,0,0,0
1.58,1.5202256834298167,-1.0530577730253463,1.1736753877493726,0.18074265973137954,-1.7429751226343704,0.6808242171343434,-0.8500783908121712,0,0,1.3186389757767074,0,0,0,0,0
1.59,1.5183916229799923,-1.0463371370731063,1.1705054550332459,0.17749737397926882,-1.7413002594753646,0.68406765266221,-0.8383452895429957,0,0,1.3187302670768413,0,0,0,0,0
1.6,1.5154891831746204,-1.0397052406368585,1.1677618473183955,0.17464253506614535,-1.7385786050038305,0.6888382944478217,-0.8419959863461237,0,0,1.3188386600625872,0,0,0,0,0
1.61,1.5127007491737972,-1.0320707511114176,1.164959754540234,0.17161379117381523,-1.736007399915939,0.6939412979073252,-0.8482912216618577,0,0,1.3189102853264816,0,0,0,0,0
